"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"202","SF-2",2016-09-04,1290,30,NA,43,10177.5147928994,NA,NA,0.004225
"210","SF-2",2016-10-06,1071.99,30,32,35.733,8457.51479289941,264.297337278107,7.13602810650888,0.004225
"219","SF-2",2016-10-28,966.99,30,22,32.233,7629.1124260355,346.777837547068,9.36300161377084,0.004225
"224","SF-2",2016-11-08,735,30,11,24.5,5798.81656804734,527.165142549758,14.2334588488435,0.004225
"232","SF-2",2016-12-05,1143,30,27,38.1,9017.75147928994,333.990795529257,9.01775147928994,0.004225
"240","SF-2",2016-12-13,1913.01,30,8,63.767,15092.7810650888,1886.5976331361,50.9381360946746,0.004225
"247","SF-2",2016-12-28,2781.99,30,15,92.733,21948.6390532544,1463.2426035503,39.507550295858,0.004225
"255","SF-2",2017-01-10,768,30,13,25.6,6059.17159763314,466.090122894857,12.5844333181611,0.004225
"262","SF-2",2017-01-25,939,30,15,31.3,7408.28402366864,493.885601577909,13.3349112426036,0.004225
