"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"5","BYH",2014-01-16,NA,NA,NA,NA,NA,NA,NA,0.001452
"10","BYH",2014-02-17,26,40,32,0.65,447.658402203857,13.9893250688705,0.377711776859504,0.001452
"20","BYH",2014-04-02,474,40,44,11.85,8161.15702479339,185.480841472577,5.00798271975958,0.001452
"24","BYH",2014-04-25,509,40,23,12.725,8763.7741046832,381.033656725356,10.2879087315846,0.001452
"28","BYH",2014-05-16,83,40,21,2.075,1429.06336088154,68.0506362324544,1.83736717827627,0.001452
"32","BYH",2014-06-09,90,40,24,2.25,1549.5867768595,64.5661157024793,1.74328512396694,0.001452
"37","BYH",2014-07-11,201,40,32,5.025,3460.74380165289,108.148243801653,2.92000258264463,0.001452
"42","BYH",2014-08-08,386,40,28,9.65,6646.00550964187,237.357339630067,6.40864817001181,0.001452
"47","BYH",2014-08-22,119,40,14,2.975,2048.89807162534,146.349862258953,3.95144628099174,0.001452
"54","BYH",2014-10-15,1161,40,54,29.025,19989.6694214876,370.179063360882,9.9948347107438,0.001452
"58","BYH",2014-10-29,269,39,14,6.8974358974359,4750.30020484566,339.307157488976,9.16129325220234,0.001452
"71","BYH",2014-12-05,260,40,37,6.5,4476.58402203857,120.988757352394,3.26669644851463,0.001452
"75","BYH",2014-12-18,324,40,13,8.1,5578.51239669421,429.116338207247,11.5861411315957,0.001452
"80","BYH",2015-01-15,744,39,28,19.0769230769231,13138.3767747404,469.227741955015,12.6691490327854,0.001452
"84","BYH",2015-01-29,15,39,14,0.384615384615385,264.886628522992,18.920473465928,0.510852783580056,0.001452
"88","BYH",2015-02-12,58,40,14,1.45,998.62258953168,71.3301849665486,1.92591499409681,0.001452
"91","BYH",2015-02-26,527,40,14,13.175,9073.6914600551,648.120818575364,17.4992621015348,0.001452
"96","BYH",2015-03-13,614,39,15,15.7435897435897,10842.6926608745,722.846177391632,19.5168467895741,0.001452
"101","BYH",2015-04-16,227,45,34,5.04444444444444,3474.13529231711,102.180449774033,2.75887214389888,0.001452
"106","BYH",2015-06-04,155,40,49,3.875,2668.73278236915,54.4639343340642,1.47052622701973,0.001452
"111","BYH",2015-07-16,89,38,42,2.34210526315789,1613.02015369001,38.405241754524,1.03694152737215,0.001452
"118","BYH",2015-09-03,119,40,49,2.975,2048.89807162534,41.8142463597009,1.12898465171192,0.001452
"123","BYH",2015-09-17,76,41,14,1.85365853658537,1276.6243364913,91.1874526065213,2.46206122037608,0.001452
"128","BYH",2015-10-07,260,40,20,6.5,4476.58402203857,223.829201101928,6.04338842975207,0.001452
"132","BYH",2015-10-28,5,40,21,0.125,86.0881542699724,4.09943591761774,0.110684769775679,0.001452
"137","BYH",2015-11-12,153,40,15,3.825,2634.29752066116,175.619834710744,4.74173553719008,0.001452
"140","BYH",2015-12-02,156,40,20,3.9,2685.95041322314,134.297520661157,3.62603305785124,0.001452
"145","BYH",2015-12-21,684,40,19,17.1,11776.8595041322,619.834710743802,16.7355371900826,0.001452
"149","BYH",2016-01-07,324,40,17,8.1,5578.51239669421,328.147788040836,8.85999027710258,0.001452
"153","BYH",2016-01-21,510,41,14,12.4390243902439,8566.82120540214,611.915800385867,16.5217266104184,0.001452
"157","BYH",2016-02-19,255,40,29,6.375,4390.4958677686,151.3964092334,4.0877030493018,0.001452
"162","BYH",2016-03-04,155,40,14,3.875,2668.73278236915,190.623770169225,5.14684179456907,0.001452
"166","BYH",2016-03-18,150,40,14,3.75,2582.64462809917,184.474616292798,4.98081463990555,0.001452
"170","BYH",2016-03-31,31,40,13,0.775,533.746556473829,41.0574274210638,1.10855054036872,0.001452
"175","BYH",2016-04-26,31,40,26,0.775,533.746556473829,20.5287137105319,0.554275270184361,0.001452
"179","BYH",2016-06-07,41,40,42,1.025,705.922865013774,16.8076872622327,0.453807556080283,0.001452
"184","BYH",2016-06-30,29,36,23,0.805555555555556,554.7903275176,24.1213185877218,0.651275601868487,0.001452
"188","BYH",2016-07-15,NA,NA,15,NA,NA,NA,NA,0.001452
"193","BYH",2016-08-24,803.01,30,40,26.767,6335.38461538462,158.384615384615,4.27638461538462,0.004225
"200","BYH",2016-09-04,798,30,11,26.6,6295.85798816568,572.35072619688,15.4534696073158,0.004225
"206","BYH",2016-10-06,1512,30,32,50.4,11928.9940828402,372.781065088757,10.0650887573965,0.004225
"214","BYH",2016-10-28,1014.99,30,22,33.833,8007.81065088757,363.991393222162,9.82776761699839,0.004225
"221","BYH",2016-11-08,2172.99,30,11,72.433,17143.9053254438,1558.53684776762,42.0804948897256,0.004225
"228","BYH",2016-12-05,1967.01,30,27,65.567,15518.8165680473,574.770984001753,15.5188165680473,0.004225
"236","BYH",2016-12-13,2594.01,30,8,86.467,20465.5621301775,2558.19526627219,69.0712721893491,0.004225
"244","BYH",2016-12-28,3375,30,15,112.5,26627.2189349112,1775.14792899408,47.9289940828402,0.004225
"251","BYH",2017-01-10,2130.99,30,13,71.033,16812.5443786982,1293.27264451525,34.9183614019117,0.004225
"259","BYH",2017-01-25,1425,30,15,47.5,11242.6035502959,749.506903353057,20.2366863905325,0.004225
"266","BYH",2017-03-02,969,30,36,32.3,7644.97041420118,212.360289283366,5.73372781065089,0.004225
