"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"1","SYK",2014-01-16,27,40,14,0.675,464.876033057851,33.2054309327037,0.896546635182999,0.001452
"7","SYK",2014-02-17,9,40,32,0.225,154.95867768595,4.84245867768595,0.130746384297521,0.001452
"12","SYK",2014-03-06,264,40,17,6.6,4545.45454545455,267.379679144385,7.2192513368984,0.001452
"15","SYK",2014-03-21,211,40,15,5.275,3632.92011019284,242.194674012856,6.53925619834711,0.001452
"22","SYK",2014-04-25,564,40,35,14.1,9710.74380165289,277.449822904368,7.49114521841795,0.001452
"26","SYK",2014-05-16,431,40,21,10.775,7420.79889807163,353.371376098649,9.54102715466352,0.001452
"30","SYK",2014-06-09,423,40,24,10.575,7283.05785123967,303.460743801653,8.19344008264463,0.001452
"34","SYK",2014-07-11,308,40,32,7.7,5303.0303030303,165.719696969697,4.47443181818182,0.001452
"39","SYK",2014-08-08,1189,40,28,29.725,20471.7630853995,731.134395907123,19.7406286894923,0.001452
"44","SYK",2014-08-22,341,40,14,8.525,5871.21212121212,419.372294372294,11.3230519480519,0.001452
"49","SYK",2014-09-18,736,40,27,18.4,12672.1763085399,469.339863279257,12.6721763085399,0.001452
"53","SYK",2014-10-15,513,40,27,12.825,8832.64462809917,327.134986225895,8.83264462809917,0.001452
"61","SYK",2014-11-20,803,39,36,20.5897435897436,14180.2641802642,393.896227229561,10.6351981351981,0.001452
"64","SYK",2014-11-22,18,40,2,0.45,309.917355371901,154.95867768595,4.18388429752066,0.001452
"69","SYK",2014-12-05,1997,40,13,49.925,34383.608815427,2644.89298580208,71.4121106166561,0.001452
"73","SYK",2014-12-18,341,40,13,8.525,5871.21212121212,451.631701631702,12.1940559440559,0.001452
"77","SYK",2015-01-15,749,40,28,18.725,12896.0055096419,460.571625344353,12.4354338842975,0.001452
"82","SYK",2015-01-29,15,40,14,0.375,258.264462809917,18.4474616292798,0.498081463990555,0.001452
"87","SYK",2015-02-12,327,39,14,8.38461538461539,5774.52850180123,412.466321557231,11.1365906820452,0.001452
"90","SYK",2015-02-26,541,40,14,13.525,9314.73829201102,665.338449429359,17.9641381345927,0.001452
"94","SYK",2015-03-13,705,39,15,18.0769230769231,12449.6715405806,829.978102705375,22.4094087730451,0.001452
"98","SYK",2015-04-02,2539,40,20,63.475,43715.564738292,2185.7782369146,59.0160123966942,0.001452
"99","SYK",2015-04-16,371,40,14,9.275,6387.74104683196,456.267217630854,12.3192148760331,0.001452
"104","SYK",2015-06-04,334,40,49,8.35,5750.68870523416,117.360993984371,3.16874683757801,0.001452
"107","SYK",2015-07-02,69,40,28,1.725,1188.01652892562,42.4291617473436,1.14558736717828,0.001452
"110","SYK",2015-07-16,324,40,14,8.1,5578.51239669421,398.465171192444,10.758559622196,0.001452
"113","SYK",2015-07-30,79,40,14,1.975,1360.19283746556,97.1566312475403,2.62322904368359,0.001452
"116","SYK",2015-09-03,219,40,35,5.475,3770.66115702479,107.733175914994,2.90879574970484,0.001452
"120","SYK",2015-09-17,437,39,14,11.2051282051282,7717.03044430317,551.216460307369,14.882844428299,0.001452
"125","SYK",2015-10-07,59,40,20,1.475,1015.84022038568,50.7920110192837,1.37138429752066,0.001452
"130","SYK",2015-10-28,173,40,21,4.325,2978.65013774105,141.840482749574,3.82969303423849,0.001452
"136","SYK",2015-11-12,20,40,15,0.5,344.35261707989,22.9568411386593,0.619834710743802,0.001452
"138","SYK",2015-12-02,189,40,20,4.725,3254.13223140496,162.706611570248,4.39307851239669,0.001452
"142","SYK",2015-12-21,411,42,19,9.78571428571429,6739.47264856356,354.709086766503,9.57714534269558,0.001452
"147","SYK",2016-01-07,237,40,17,5.925,4080.57851239669,240.034030140982,6.48091881380651,0.001452
"151","SYK",2016-01-21,358,39,14,9.17948717948718,6321.96086741541,451.568633386815,12.192353101444,0.001452
"155","SYK",2016-02-19,294,40,29,7.35,5061.98347107438,174.551154174979,4.71288116272442,0.001452
"160","SYK",2016-03-04,748,40,14,18.7,12878.7878787879,919.91341991342,24.8376623376623,0.001452
"164","SYK",2016-03-18,174,40,14,4.35,2995.86776859504,213.990554899646,5.77774498229044,0.001452
"168","SYK",2016-03-31,53,40,13,1.325,912.534435261708,70.1949565585929,1.89526382708201,0.001452
"173","SYK",2016-04-26,171,40,26,4.275,2944.21487603306,113.239033693579,3.05745390972664,0.001452
"177","SYK",2016-06-07,35,40,42,0.875,602.617079889807,14.3480257116621,0.387396694214876,0.001452
"182","SYK",2016-06-30,246,37,23,6.64864864864865,4578.95912441367,199.085179322333,5.375299841703,0.001452
"186","SYK",2016-07-15,123,40,15,3.075,2117.76859504132,141.184573002755,3.81198347107438,0.001452
"191","SYK",2016-08-12,285,30,28,9.5,2248.52071005917,80.3043110735419,2.16821639898563,0.004225
"195","SYK",2016-08-24,747,30,12,24.9,5893.49112426036,491.12426035503,13.2603550295858,0.004225
"204","SYK",2016-09-04,222.42,30,11,7.414,1754.79289940828,159.526627218935,4.30721893491124,0.004225
"212","SYK",2016-10-06,1881.99,30,32,62.733,14848.0473372781,464.001479289941,12.5280399408284,0.004225
"216","SYK",2016-10-28,2748.99,30,22,91.633,21688.2840236686,985.831091984938,26.6174394835933,0.004225
