"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"203","SF-3",2016-09-04,1107,30,NA,36.9,8733.72781065089,NA,NA,0.004225
"211","SF-3",2016-10-06,54,30,32,1.8,426.03550295858,13.3136094674556,0.359467455621302,0.004225
"215","SF-3",2016-10-28,1421.01,30,22,47.367,11211.124260355,509.596557288865,13.7591070467994,0.004225
"225","SF-3",2016-11-08,1158,30,11,38.6,9136.09467455621,830.554061323292,22.4249596557289,0.004225
"233","SF-3",2016-12-05,2619,30,27,87.3,20662.7218934911,765.285996055227,20.6627218934911,0.004225
"241","SF-3",2016-12-13,1475.01,30,8,49.167,11637.1597633136,1454.6449704142,39.2754142011834,0.004225
"248","SF-3",2016-12-28,1248,30,15,41.6,9846.15384615385,656.410256410256,17.7230769230769,0.004225
"256","SF-3",2017-01-10,1041.99,30,13,34.733,8220.82840236686,632.371415566682,17.0740282203004,0.004225
"263","SF-3",2017-01-25,951.99,30,15,31.733,7510.76923076923,500.717948717949,13.5193846153846,0.004225
