"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"2","GTP",2014-01-15,1405,40,14,35.125,24190.7713498623,1727.91223927588,46.6536304604486,0.001452
"3","GTP",2014-01-16,2,40,1,0.05,34.435261707989,34.435261707989,0.929752066115703,0.001452
"8","GTP",2014-02-17,11,40,32,0.275,189.393939393939,5.91856060606061,0.159801136363636,0.001452
"13","GTP",2014-03-06,58,40,17,1.45,998.62258953168,58.7425052665694,1.58604764219737,0.001452
"16","GTP",2014-03-21,51,40,15,1.275,878.099173553719,58.5399449035813,1.58057851239669,0.001452
"19","GTP",2014-04-02,592,40,12,14.8,10192.8374655647,849.403122130395,22.9338842975207,0.001452
"23","GTP",2014-04-25,162,40,23,4.05,2789.25619834711,121.272008623787,3.27434423284226,0.001452
"27","GTP",2014-05-16,100,40,21,2.5,1721.76308539945,81.9887183523547,2.21369539551358,0.001452
"31","GTP",2014-06-09,72,40,24,1.8,1239.6694214876,51.6528925619835,1.39462809917355,0.001452
"35","GTP",2014-07-11,50,40,32,1.25,860.881542699725,26.9025482093664,0.726368801652893,0.001452
"40","GTP",2014-08-08,755,40,28,18.875,12999.3112947658,464.261117670209,12.5350501770956,0.001452
"45","GTP",2014-08-22,151,40,14,3.775,2599.86225895317,185.704447068083,5.01402007083825,0.001452
"50","GTP",2014-09-18,100,40,27,2.5,1721.76308539945,63.7690031629426,1.72176308539945,0.001452
"56","GTP",2014-10-29,502,40,41,12.55,8643.25068870524,210.810992407445,5.69189679500101,0.001452
"62","GTP",2014-11-20,770,40,22,19.25,13257.5757575758,602.617079889807,16.2706611570248,0.001452
"65","GTP",2014-11-22,0,40,2,0,0,0,0,0.001452
"70","GTP",2014-12-05,396,40,13,9.9,6818.18181818182,524.475524475524,14.1608391608392,0.001452
"74","GTP",2014-12-18,343,40,13,8.575,5905.64738292011,454.280567916931,12.2655753337572,0.001452
"78","GTP",2015-01-15,681,40,28,17.025,11725.2066115702,418.757378984652,11.3064492325856,0.001452
"83","GTP",2015-01-29,79,39,14,2.02564102564103,1395.06957688776,99.6478269205542,2.69049132685496,0.001452
"89","GTP",2015-02-25,154,39,27,3.94871794871795,2719.50271950272,100.722322944545,2.71950271950272,0.001452
"95","GTP",2015-03-13,102,40,16,2.55,1756.19834710744,109.762396694215,2.9635847107438,0.001452
"100","GTP",2015-04-16,28,40,34,0.7,482.093663911846,14.1792254091719,0.382839086047642,0.001452
"103","GTP",2015-05-17,48,40,31,1.2,826.446280991736,26.6595574513463,0.71980805118635,0.001452
"105","GTP",2015-06-04,0,41,18,0,0,0,0,0.001452
"108","GTP",2015-07-02,4,41,28,0.0975609756097561,67.1907545521736,2.39966980543477,0.0647910847467389,0.001452
"114","GTP",2015-07-30,0,38,28,0,0,0,0,0.001452
"117","GTP",2015-09-03,77,40,35,1.925,1325.75757575758,37.8787878787879,1.02272727272727,0.001452
"121","GTP",2015-09-17,78,40,14,1.95,1342.97520661157,95.926800472255,2.59002361275089,0.001452
"122","GTP",2015-09-17,56,40,0,1.4,964.187327823691,Inf,Inf,0.001452
"126","GTP",2015-10-07,81,40,20,2.025,1394.62809917355,69.7314049586777,1.8827479338843,0.001452
"131","GTP",2015-10-28,1,40,21,0.025,17.2176308539945,0.819887183523547,0.0221369539551358,0.001452
"139","GTP",2015-12-02,11,40,35,0.275,189.393939393939,5.41125541125541,0.146103896103896,0.001452
"143","GTP",2015-12-21,72,40,19,1.8,1239.6694214876,65.2457590256633,1.76163549369291,0.001452
"148","GTP",2016-01-07,14,40,17,0.35,241.046831955923,14.1792254091719,0.382839086047642,0.001452
"152","GTP",2016-01-21,41,45,14,0.911111111111111,627.486991123355,44.8204993659539,1.21015348288076,0.001452
"156","GTP",2016-02-19,84,40,29,2.1,1446.28099173554,49.8717583357082,1.34653747506412,0.001452
"161","GTP",2016-03-04,118,40,14,2.95,2031.68044077135,145.120031483668,3.91824085005903,0.001452
"165","GTP",2016-03-18,17,40,14,0.425,292.699724517906,20.9071231798505,0.564492325855962,0.001452
"169","GTP",2016-03-31,18,40,13,0.45,309.917355371901,23.8397965670693,0.643674507310871,0.001452
"174","GTP",2016-04-26,38,40,26,0.95,654.269972451791,25.1642297096843,0.679434202161475,0.001452
"178","GTP",2016-06-07,21,40,42,0.525,361.570247933884,8.60881542699725,0.232438016528926,0.001452
"183","GTP",2016-06-30,56,40,23,1.4,964.187327823691,41.9211881662475,1.13187208048868,0.001452
"187","GTP",2016-07-15,11,40,15,0.275,189.393939393939,12.6262626262626,0.340909090909091,0.001452
"194","GTP",2016-08-24,269.01,30,40,8.967,2122.36686390533,53.0591715976331,1.4325976331361,0.004225
"198","GTP",2016-08-25,153,30,1,5.1,1207.10059171598,1207.10059171598,32.5917159763314,0.004225
"208","GTP",2016-10-06,704.01,30,42,23.467,5554.31952662722,132.245703014934,3.57063398140321,0.004225
"217","GTP",2016-10-28,1529.01,30,22,50.967,12063.1952662722,548.327057557827,14.8048305540613,0.004225
"222","GTP",2016-11-08,218.01,30,11,7.267,1720,156.363636363636,4.22181818181818,0.004225
"230","GTP",2016-12-05,1560,30,27,52,12307.6923076923,455.840455840456,12.3076923076923,0.004225
"238","GTP",2016-12-13,597,30,8,19.9,4710.05917159763,588.757396449704,15.896449704142,0.004225
"245","GTP",2016-12-28,1566.99,30,15,52.233,12362.8402366864,824.189349112426,22.2531124260355,0.004225
"253","GTP",2017-01-10,650.01,30,13,21.667,5128.28402366864,394.483386436049,10.6510514337733,0.004225
"260","GTP",2017-01-25,375,30,15,12.5,2958.5798816568,197.23865877712,5.32544378698225,0.004225
"267","GTP",2017-03-02,639,30,36,21.3,5041.4201183432,140.039447731755,3.7810650887574,0.004225
