"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"201","SF-1",2016-09-04,525,30,NA,17.5,4142.01183431953,NA,NA,0.004225
"209","SF-1",2016-10-06,1514.01,30,32,50.467,11944.8520710059,373.276627218935,10.0784689349112,0.004225
"218","SF-1",2016-10-28,116.01,30,22,3.867,915.266272189349,41.6030123722431,1.12328133405056,0.004225
"223","SF-1",2016-11-08,255,30,11,8.5,2011.83431952663,182.894029047875,4.93813878429263,0.004225
"231","SF-1",2016-12-05,1115.01,30,27,37.167,8796.92307692308,325.811965811966,8.79692307692308,0.004225
"239","SF-1",2016-12-13,149.01,30,8,4.967,1175.62130177515,146.952662721893,3.96772189349112,0.004225
"246","SF-1",2016-12-28,1140.99,30,15,38.033,9001.89349112426,600.126232741617,16.2034082840237,0.004225
"254","SF-1",2017-01-10,1191,30,13,39.7,9396.44970414201,722.803823395539,19.5157032316796,0.004225
"261","SF-1",2017-01-25,630.99,30,15,21.033,4978.22485207101,331.881656804734,8.96080473372781,0.004225
