"","ID","date","Tracks","Graticule","Exposure.T","T.G","T.Area","T.A.Day","X.T.A.Day","AREA"
"6","BY",2014-01-16,NA,NA,NA,NA,NA,NA,NA,NA
"11","BY",2014-02-17,0,40,32,0,0,0,0,0.001452
"14","BY",2014-03-06,517,40,17,12.925,8901.51515151515,523.618538324421,14.1377005347594,0.001452
"18","BY",2014-03-21,340,40,15,8.5,5853.99449035813,390.266299357208,10.5371900826446,0.001452
"21","BY",2014-04-02,1234,40,12,30.85,21246.5564738292,1770.5463728191,47.8047520661157,0.001452
"25","BY",2014-04-25,788,40,23,19.7,13567.4931129477,589.891004910768,15.9270571325907,0.001452
"29","BY",2014-05-16,193,40,21,4.825,3323.00275482094,158.238226420045,4.2724321133412,0.001452
"33","BY",2014-06-09,334,40,24,8.35,5750.68870523416,239.612029384757,6.46952479338843,0.001452
"38","BY",2014-07-11,354,45,32,7.86666666666667,5417.8145087236,169.306703397612,4.57128099173554,0.001452
"43","BY",2014-08-08,737,40,28,18.425,12689.3939393939,453.192640692641,12.2362012987013,0.001452
"48","BY",2014-08-22,580,40,14,14.5,9986.2258953168,713.301849665486,19.2591499409681,0.001452
"55","BY",2014-10-15,2299,40,54,57.475,39583.3333333333,733.024691358025,19.7916666666667,0.001452
"59","BY",2014-10-29,381,40,14,9.525,6559.9173553719,468.565525383707,12.6512691853601,0.001452
"63","BY",2014-11-20,493,39,22,12.6410256410256,8705.94052412234,395.724569278288,10.6845633705138,0.001452
"67","BY",2014-11-22,11,40,2,0.275,189.393939393939,94.6969696969697,2.55681818181818,0.001452
"72","BY",2014-12-05,380,40,13,9.5,6542.69972451791,503.284594193685,13.5886840432295,0.001452
"76","BY",2014-12-18,300,41,13,7.31707317073171,5039.30659141302,387.638968570232,10.4662521513963,0.001452
"81","BY",2015-01-15,1634,40,28,40.85,28133.608815427,1004.77174340811,27.1288370720189,0.001452
"85","BY",2015-01-29,172,40,14,4.3,2961.43250688705,211.530893349075,5.71133412042503,0.001452
"92","BY",2015-02-26,816,40,28,20.4,14049.5867768595,501.770956316411,13.5478158205431,0.001452
"97","BY",2015-03-13,1458,40,15,36.45,25103.305785124,1673.55371900826,45.1859504132231,0.001452
"102","BY",2015-04-16,258,40,34,6.45,4442.14876033058,130.65143412737,3.52758872143899,0.001452
"109","BY",2015-07-02,329,40,77,8.225,5664.60055096419,73.5662409216128,1.98628850488355,0.001452
"112","BY",2015-07-16,0,40,14,0,0,0,0,0.001452
"115","BY",2015-07-30,4,40,14,0.1,68.870523415978,4.91932310114128,0.132821723730815,0.001452
"119","BY",2015-09-05,209,40,37,5.225,3598.48484848485,97.2563472563473,2.62592137592138,0.001452
"124","BY",2015-09-17,501,40,12,12.525,8626.03305785124,718.83608815427,19.4085743801653,0.001452
"129","BY",2015-10-07,1017,39,20,26.0769230769231,17959.3134138589,897.965670692943,24.2450731087095,0.001452
"133","BY",2015-10-28,467,40,21,11.675,8040.63360881543,382.887314705497,10.3379574970484,0.001452
"135","BY",2015-11-05,601,40,8,15.025,10347.7961432507,1293.47451790634,34.9238119834711,0.001452
"141","BY",2015-12-02,4,40,27,0.1,68.870523415978,2.5507601265177,0.068870523415978,0.001452
"146","BY",2015-12-21,513,40,19,12.825,8832.64462809917,464.876033057851,12.551652892562,0.001452
"150","BY",2016-01-07,242,40,17,6.05,4166.66666666667,245.098039215686,6.61764705882353,0.001452
"154","BY",2016-01-21,252,42,14,6,4132.23140495868,295.159386068477,7.96930342384888,0.001452
"158","BY",2016-02-19,255,40,29,6.375,4390.4958677686,151.3964092334,4.0877030493018,0.001452
"163","BY",2016-03-04,1228,40,14,30.7,21143.2506887052,1510.23219205037,40.7762691853601,0.001452
"167","BY",2016-03-18,59,40,14,1.475,1015.84022038568,72.5600157418339,1.95912042502952,0.001452
"171","BY",2016-03-31,154,40,13,3.85,2651.51515151515,203.962703962704,5.50699300699301,0.001452
"176","BY",2016-04-26,83,40,26,2.075,1429.06336088154,54.9639754185209,1.48402733630006,0.001452
"180","BY",2016-06-07,15,40,42,0.375,258.264462809917,6.1491538764266,0.166027154663518,0.001452
"185","BY",2016-06-30,147,35,23,4.2,2892.56198347107,125.763564498742,3.39561624146604,0.001452
"189","BY",2016-07-15,83,40,15,2.075,1429.06336088154,95.2708907254362,2.57231404958678,0.001452
"192","BY",2016-08-24,1323.99,30,40,44.133,10445.6804733728,261.14201183432,7.05083431952663,0.004225
"196","BY",2016-08-25,855.99,30,1,28.533,6753.37278106509,6753.37278106509,182.341065088757,0.004225
"199","BY",2016-09-04,303.99,30,10,10.133,2398.34319526627,239.834319526627,6.47552662721894,0.004225
"205","BY",2016-10-06,2415,30,32,80.5,19053.2544378698,595.414201183432,16.0761834319527,0.004225
"213","BY",2016-10-28,3935.01,30,22,131.167,31045.4437869823,1411.15653577192,38.1012264658419,0.004225
"220","BY",2016-11-08,1320.99,30,11,44.033,10422.0118343195,947.455621301775,25.5813017751479,0.004225
"227","BY",2016-12-05,5208.99,30,27,173.633,41096.5680473373,1522.09511286434,41.0965680473373,0.004225
"235","BY",2016-12-13,3638.01,30,8,121.267,28702.2485207101,3587.78106508876,96.8700887573965,0.004225
"243","BY",2016-12-28,5778.99,30,15,192.633,45593.6094674556,3039.57396449704,82.0684970414201,0.004225
"250","BY",2017-01-10,3321,30,13,110.7,26201.1834319527,2015.47564861174,54.4178425125171,0.004225
"258","BY",2017-01-25,2301.99,30,15,76.733,18161.6568047337,1210.77712031558,32.6909822485207,0.004225
"265","BY",2017-03-02,3438.99,30,36,114.633,27132.0710059172,753.668639053255,20.3490532544379,0.004225
